Timestamp,Ball_Position
2024-02-18 16:14:38.656804,"(202, 496)"
2024-02-18 16:14:38.882255,"(201, 463)"
2024-02-18 16:14:39.117411,"(201, 436)"
2024-02-18 16:14:39.349336,"(200, 414)"
2024-02-18 16:14:40.024458,"(196, 413)"
2024-02-18 16:14:40.248020,"(194, 451)"
2024-02-18 16:14:40.474557,"(193, 499)"
2024-02-18 16:14:40.696637,"(192, 544)"
2024-02-18 16:14:40.921952,"(191, 607)"
2024-02-18 16:14:41.147072,"(188, 668)"
2024-02-18 16:14:41.856911,"(189, 508)"
2024-02-18 16:14:42.094650,"(188, 469)"
2024-02-18 16:14:42.330093,"(188, 437)"
2024-02-18 16:14:42.563732,"(187, 410)"
2024-02-18 16:14:42.800809,"(186, 391)"
2024-02-18 16:14:43.036948,"(186, 387)"
2024-02-18 16:14:43.272726,"(186, 399)"
2024-02-18 16:14:43.506271,"(189, 428)"
2024-02-18 16:14:43.741463,"(191, 470)"
2024-02-18 16:14:43.973167,"(193, 518)"
2024-02-18 16:14:44.211093,"(197, 573)"
2024-02-18 16:14:44.445688,"(202, 630)"
2024-02-18 16:14:44.682338,"(202, 649)"
2024-02-18 16:14:44.921075,"(204, 596)"
2024-02-18 16:14:45.155827,"(206, 549)"
2024-02-18 16:14:45.391547,"(208, 508)"
2024-02-18 16:14:45.633354,"(210, 471)"
2024-02-18 16:14:45.869367,"(212, 440)"
2024-02-18 16:14:46.106290,"(214, 415)"
2024-02-18 16:14:46.341631,"(216, 396)"
2024-02-18 16:14:46.574441,"(216, 394)"
2024-02-18 16:14:46.811734,"(216, 410)"
2024-02-18 16:14:47.048689,"(218, 444)"
2024-02-18 16:14:47.292742,"(219, 490)"
2024-02-18 16:14:47.530640,"(221, 540)"
2024-02-18 16:14:47.761341,"(223, 594)"
2024-02-18 16:14:47.990098,"(226, 657)"
2024-02-18 16:14:48.219044,"(225, 636)"
2024-02-18 16:14:48.451847,"(224, 579)"
2024-02-18 16:14:48.692880,"(223, 540)"
2024-02-18 16:14:48.922717,"(222, 499)"
2024-02-18 16:14:49.161559,"(222, 464)"
2024-02-18 16:14:49.394137,"(221, 435)"
2024-02-18 16:14:49.621674,"(220, 412)"
2024-02-18 16:14:49.850997,"(219, 396)"
2024-02-18 16:14:50.076237,"(218, 396)"
2024-02-18 16:14:50.320846,"(217, 419)"
2024-02-18 16:14:50.550316,"(218, 457)"
2024-02-18 16:14:50.778945,"(217, 504)"
2024-02-18 16:14:51.006301,"(217, 550)"
2024-02-18 16:14:51.234034,"(215, 609)"
2024-02-18 16:14:51.458213,"(215, 676)"
2024-02-18 16:14:51.680506,"(213, 614)"
2024-02-18 16:14:51.909022,"(212, 570)"
2024-02-18 16:14:52.134927,"(212, 526)"
2024-02-18 16:14:52.361944,"(211, 488)"
2024-02-18 16:14:52.591760,"(209, 456)"
